Day,Minute,Occupant 1 Activity,Occupant 2 Activity,Unit Energy Cost ($),Energy Comsumption (kWh),Control Cost ($)
1,137,0,0,0.34,0.0,0.0
1,138,0,0,0.34,0.0,0.0
1,139,0,0,0.34,0.0,0.0
1,140,0,0,0.34,0.0,0.0
1,141,0,0,0.34,0.0,0.0
1,142,0,0,0.34,0.0,0.0
1,143,0,0,0.34,0.0,0.0
1,144,0,0,0.34,0.0,0.0
1,145,0,0,0.34,0.0,0.0
1,146,0,0,0.34,0.0,0.0
1,147,0,0,0.34,0.0,0.0
1,148,0,0,0.34,0.0,0.0
1,149,0,0,0.34,0.0,0.0
1,150,0,0,0.34,0.0,0.0
1,151,0,0,0.34,0.0,0.0
1,152,0,0,0.34,0.0,0.0
1,153,0,0,0.34,0.0,0.0
1,154,0,0,0.34,0.0,0.0
1,155,0,0,0.34,0.0,0.0
1,156,0,0,0.34,0.0,0.0
1,157,0,0,0.34,0.0,0.0
1,158,0,0,0.34,0.0,0.0
1,159,0,0,0.34,0.0,0.0
1,160,0,0,0.34,0.0,0.0
1,161,0,0,0.34,0.0,0.0
1,162,0,0,0.34,0.0,0.0
1,163,0,0,0.34,0.0,0.0
1,164,0,0,0.34,0.0,0.0
1,165,0,0,0.34,0.0,0.0
1,166,0,0,0.34,0.0,0.0
1,167,0,0,0.34,0.0,0.0
1,168,0,0,0.34,0.0,0.0
1,169,0,0,0.34,0.0,0.0
1,170,0,0,0.34,0.0,0.0
1,171,0,0,0.34,0.0,0.0
1,172,0,0,0.34,0.0,0.0
1,173,0,0,0.34,0.0,0.0
1,174,0,0,0.34,0.0,0.0
1,175,0,0,0.34,0.0,0.0
1,176,0,0,0.34,0.0,0.0
1,177,0,0,0.34,0.0,0.0
1,178,0,0,0.34,0.0,0.0
1,179,0,0,0.34,0.0,0.0
1,180,0,0,0.34,0.0,0.0
1,181,0,0,0.34,0.0,0.0
1,182,0,0,0.34,0.0,0.0
1,183,0,0,0.34,0.0,0.0
1,184,0,0,0.34,0.0,0.0
1,185,0,0,0.34,0.0,0.0
1,186,0,0,0.34,0.0,0.0
1,187,0,0,0.34,0.0,0.0
1,188,0,0,0.34,0.0,0.0
1,189,0,0,0.34,0.0,0.0
1,190,0,0,0.34,0.0,0.0
1,191,0,0,0.34,0.0,0.0
1,192,0,0,0.34,0.0,0.0
1,193,0,0,0.34,0.0,0.0
1,194,0,0,0.34,0.0,0.0
1,195,0,0,0.34,0.0,0.0
1,196,0,0,0.34,0.0,0.0
1,197,0,0,0.34,0.0,0.0
1,198,0,0,0.34,0.0,0.0
1,199,0,0,0.34,0.0,0.0
1,200,0,0,0.34,0.0,0.0
1,201,0,0,0.34,0.0,0.0
1,202,0,0,0.34,0.0,0.0
1,203,0,0,0.34,0.0,0.0
1,204,0,0,0.34,0.0,0.0
1,205,0,0,0.34,0.0,0.0
1,206,0,0,0.34,0.0,0.0
1,207,0,0,0.34,0.0,0.0
1,208,0,0,0.34,0.0,0.0
1,209,0,0,0.34,0.0,0.0
1,210,0,0,0.34,0.0,0.0
1,211,0,0,0.34,0.0,0.0
1,212,0,0,0.34,0.0,0.0
1,213,0,0,0.34,0.0,0.0
1,214,0,0,0.34,0.0,0.0
1,215,0,0,0.34,0.0,0.0
1,216,0,0,0.34,0.0,0.0
1,217,0,0,0.34,0.0,0.0
1,218,0,0,0.34,0.0,0.0
1,219,0,0,0.34,0.0,0.0
1,220,0,0,0.34,0.0,0.0
1,221,0,0,0.34,0.0,0.0
1,222,0,0,0.34,0.0,0.0
1,223,0,0,0.34,0.0,0.0
1,224,0,0,0.34,0.0,0.0
1,225,0,0,0.34,0.0,0.0
1,226,0,0,0.34,0.0,0.0
1,227,0,0,0.34,0.0,0.0
1,228,0,0,0.34,0.0,0.0
1,229,0,0,0.34,0.0,0.0
1,230,0,0,0.34,0.0,0.0
1,231,0,0,0.34,0.0,0.0
1,232,0,0,0.34,0.0,0.0
1,233,0,0,0.34,0.0,0.0
1,234,0,0,0.34,0.0,0.0
1,235,0,0,0.34,0.0,0.0
1,236,0,0,0.34,0.0,0.0
1,237,0,0,0.34,0.0,0.0
1,238,0,0,0.34,0.0,0.0
1,239,0,0,0.34,0.0,0.0
1,240,0,0,0.34,0.0,0.0
1,241,0,0,0.34,0.0,0.0
1,242,0,0,0.34,0.0,0.0
1,243,0,0,0.34,0.0,0.0
1,244,0,0,0.34,0.0,0.0
1,245,0,0,0.34,0.0,0.0
1,246,0,0,0.34,0.0,0.0
1,247,0,0,0.34,0.0,0.0
1,248,0,0,0.34,0.0,0.0
1,249,0,0,0.34,0.0,0.0
1,250,0,0,0.34,0.0,0.0
1,251,0,0,0.34,0.0,0.0
1,252,0,0,0.34,0.0,0.0
1,253,0,0,0.34,0.0,0.0
1,254,0,0,0.34,0.0,0.0
1,255,0,0,0.34,0.0,0.0
1,256,0,0,0.34,0.0,0.0
1,257,0,0,0.34,0.0,0.0
1,258,0,0,0.34,0.0,0.0
1,259,0,0,0.34,0.0,0.0
1,260,0,0,0.34,0.0,0.0
1,261,0,0,0.34,0.0,0.0
1,262,0,0,0.34,0.0,0.0
1,263,0,0,0.34,0.0,0.0
1,264,0,0,0.34,0.0,0.0
1,265,0,0,0.34,0.0,0.0
1,266,0,0,0.34,0.0,0.0
1,267,0,0,0.34,0.0,0.0
1,268,0,0,0.34,0.0,0.0
1,269,0,0,0.34,0.0,0.0
1,270,0,0,0.34,0.0,0.0
1,271,0,0,0.34,0.0,0.0
1,272,0,0,0.34,0.0,0.0
1,273,0,0,0.34,0.0,0.0
1,274,0,0,0.34,0.0,0.0
1,275,0,0,0.34,0.0,0.0
1,276,0,0,0.34,0.0,0.0
1,277,0,0,0.34,0.0,0.0
1,278,0,0,0.34,0.0,0.0
1,279,0,0,0.34,0.0,0.0
1,280,0,0,0.34,0.0,0.0
1,281,0,0,0.34,0.0,0.0
1,282,0,0,0.34,0.0,0.0
1,283,0,0,0.34,0.0,0.0
1,284,0,0,0.34,0.0,0.0
1,285,0,0,0.34,0.0,0.0
1,286,0,0,0.34,0.0,0.0
1,287,0,0,0.34,0.0,0.0
1,288,0,0,0.34,0.0,0.0
1,289,0,0,0.34,0.0,0.0
1,290,0,0,0.34,0.0,0.0
1,291,0,0,0.34,0.0,0.0
1,292,0,0,0.34,0.0,0.0
1,293,0,0,0.34,0.0,0.0
1,294,0,0,0.34,0.0,0.0
1,295,0,0,0.34,0.0,0.0
1,296,0,0,0.34,0.0,0.0
1,297,0,0,0.34,0.0,0.0
1,298,0,0,0.34,0.0,0.0
1,299,0,0,0.34,0.0,0.0
1,300,0,0,0.34,0.0,0.0
1,301,0,0,0.34,0.0,0.0
1,302,0,0,0.34,0.0,0.0
1,303,0,0,0.34,0.0,0.0
1,304,0,0,0.34,0.0,0.0
1,305,0,0,0.34,0.0,0.0
1,306,0,0,0.34,0.0,0.0
1,307,0,0,0.34,0.0,0.0
1,308,0,0,0.34,0.0,0.0
1,309,0,0,0.34,0.0,0.0
1,310,0,0,0.34,0.0,0.0
1,311,0,0,0.34,0.0,0.0
1,312,0,0,0.34,0.0,0.0
1,313,0,0,0.34,0.0,0.0
1,314,0,0,0.34,0.0,0.0
1,315,0,0,0.34,0.0,0.0
1,316,0,0,0.34,0.0,0.0
1,317,0,0,0.34,0.0,0.0
1,318,0,0,0.34,0.0,0.0
1,319,0,0,0.34,0.0,0.0
1,320,0,0,0.34,0.0,0.0
1,321,0,0,0.34,0.0,0.0
1,322,0,0,0.34,0.0,0.0
1,323,0,0,0.34,0.0,0.0
1,324,0,0,0.34,0.0,0.0
1,325,0,0,0.34,0.0,0.0
1,326,0,0,0.34,0.0,0.0
1,327,0,0,0.34,0.0,0.0
1,328,0,0,0.34,0.0,0.0
1,329,0,0,0.34,0.0,0.0
1,330,0,0,0.34,0.0,0.0
1,331,0,0,0.34,0.0,0.0
1,332,0,0,0.34,0.0,0.0
1,333,0,0,0.34,0.0,0.0
1,334,0,0,0.34,0.0,0.0
1,335,0,0,0.34,0.0,0.0
1,336,0,0,0.34,0.0,0.0
1,337,0,0,0.34,0.0,0.0
1,338,0,0,0.34,0.0,0.0
1,339,0,0,0.34,0.0,0.0
1,340,0,0,0.34,0.0,0.0
1,341,0,0,0.34,0.0,0.0
1,342,0,0,0.34,0.0,0.0
1,343,0,0,0.34,0.0,0.0
1,344,0,0,0.34,0.0,0.0
1,345,0,0,0.34,0.0,0.0
1,346,0,0,0.34,0.0,0.0
1,347,0,0,0.34,0.0,0.0
1,348,0,0,0.34,0.0,0.0
1,349,0,0,0.34,0.0,0.0
1,350,0,0,0.34,0.0,0.0
1,351,0,0,0.34,0.0,0.0
1,352,0,0,0.34,0.0,0.0
1,353,0,0,0.34,0.0,0.0
1,354,0,0,0.34,0.0,0.0
1,355,0,0,0.34,0.0,0.0
1,356,0,0,0.34,0.0,0.0
1,357,0,0,0.34,0.0,0.0
1,358,0,0,0.34,0.0,0.0
1,359,0,0,0.34,0.0,0.0
1,360,0,0,0.34,0.0,0.0
1,361,0,0,0.34,0.0,0.0
1,362,0,0,0.34,0.0,0.0
1,363,0,0,0.34,0.0,0.0
1,364,0,0,0.34,0.0,0.0
1,365,0,0,0.34,0.0,0.0
1,366,0,0,0.34,0.0,0.0
1,367,0,0,0.34,0.0,0.0
1,368,0,0,0.34,0.0,0.0
1,369,0,0,0.34,0.0,0.0
1,370,0,0,0.34,0.0,0.0
1,371,0,0,0.34,0.0,0.0
1,372,0,0,0.34,0.0,0.0
1,373,0,0,0.34,0.0,0.0
1,374,0,0,0.34,0.0,0.0
1,375,0,0,0.34,0.0,0.0
1,376,0,0,0.34,0.0,0.0
1,377,0,0,0.34,0.0,0.0
1,378,0,0,0.34,0.0,0.0
1,379,0,0,0.34,0.0,0.0
1,380,0,0,0.34,0.0,0.0
1,381,0,0,0.34,0.0,0.0
1,382,0,0,0.34,0.0,0.0
1,383,0,0,0.34,0.0,0.0
1,384,0,0,0.34,0.0,0.0
1,385,0,0,0.34,0.0,0.0
1,386,0,0,0.34,0.0,0.0
1,387,0,0,0.34,0.0,0.0
1,388,0,0,0.34,0.0,0.0
1,389,0,0,0.34,0.0,0.0
1,390,0,0,0.34,0.0,0.0
1,391,0,0,0.34,0.0,0.0
1,392,0,0,0.34,0.0,0.0
1,393,0,0,0.34,0.0,0.0
1,394,0,0,0.34,0.0,0.0
1,395,0,0,0.34,0.0,0.0
1,396,0,0,0.34,0.0,0.0
1,397,0,0,0.34,0.0,0.0
1,398,0,0,0.34,0.0,0.0
1,399,0,0,0.34,0.0,0.0
1,400,0,0,0.34,0.0,0.0
1,401,0,0,0.34,0.0,0.0
1,402,0,0,0.34,0.0,0.0
1,403,0,0,0.34,0.0,0.0
1,404,0,0,0.34,0.0,0.0
1,405,0,0,0.34,0.0,0.0
1,406,0,0,0.34,0.0,0.0
1,407,0,0,0.34,0.0,0.0
1,408,0,0,0.34,0.0,0.0
1,409,0,0,0.34,0.0,0.0
1,410,0,0,0.34,0.0,0.0
1,411,0,0,0.34,0.0,0.0
1,412,0,0,0.34,0.0,0.0
1,413,0,0,0.34,0.0,0.0
1,414,0,0,0.34,0.0,0.0
1,415,0,0,0.34,0.0,0.0
1,416,0,0,0.34,0.0,0.0
1,417,0,0,0.34,0.0,0.0
1,418,0,0,0.34,0.0,0.0
1,419,0,0,0.34,0.0,0.0
1,420,0,0,0.34,0.0,0.0
1,421,0,0,0.34,0.0,0.0
1,422,0,0,0.34,0.0,0.0
1,423,0,0,0.34,0.0,0.0
1,424,0,0,0.34,0.0,0.0
1,425,0,0,0.34,0.0,0.0
1,426,0,0,0.34,0.0,0.0
1,427,0,0,0.34,0.0,0.0
1,428,0,0,0.34,0.0,0.0
1,429,0,0,0.34,0.0,0.0
1,430,0,0,0.34,0.0,0.0
1,431,0,0,0.34,0.0,0.0
1,432,0,0,0.34,0.0,0.0
1,433,0,0,0.34,0.0,0.0
1,434,0,0,0.34,0.0,0.0
1,435,0,0,0.34,0.0,0.0
1,436,0,0,0.34,0.0,0.0
1,437,0,0,0.34,0.0,0.0
1,438,0,0,0.34,0.0,0.0
1,439,0,0,0.34,0.0,0.0
1,440,0,0,0.34,0.0,0.0
1,441,0,0,0.34,0.0,0.0
1,442,0,0,0.34,0.0,0.0
1,443,0,0,0.34,0.0,0.0
1,444,0,0,0.34,0.0,0.0
1,445,0,0,0.34,0.0,0.0
1,446,0,0,0.34,0.0,0.0
1,447,0,0,0.34,0.0,0.0
1,448,0,0,0.34,0.0,0.0
1,449,0,0,0.34,0.0,0.0
1,450,0,0,0.34,0.0,0.0
1,451,0,0,0.34,0.0,0.0
1,452,0,0,0.34,0.0,0.0
1,453,0,0,0.34,0.0,0.0
1,454,0,0,0.34,0.0,0.0
1,455,0,0,0.34,0.0,0.0
1,456,0,0,0.34,0.0,0.0
1,457,0,0,0.34,0.0,0.0
1,458,0,0,0.34,0.0,0.0
1,459,0,0,0.34,0.0,0.0
1,460,0,0,0.34,0.0,0.0
1,461,0,0,0.34,0.0,0.0
1,462,0,0,0.34,0.0,0.0
1,463,0,0,0.34,0.0,0.0
1,464,0,0,0.34,0.0,0.0
1,465,0,0,0.34,0.0,0.0
1,466,0,0,0.34,0.0,0.0
1,467,0,0,0.34,0.0,0.0
1,468,0,0,0.34,0.0,0.0
1,469,0,0,0.34,0.0,0.0
1,470,0,0,0.34,0.0,0.0
1,471,0,0,0.34,0.0,0.0
1,472,0,0,0.34,0.0,0.0
1,473,0,0,0.34,0.0,0.0
1,474,0,0,0.34,0.0,0.0
1,475,0,0,0.34,0.0,0.0
1,476,0,0,0.34,0.0,0.0
1,477,0,0,0.34,0.0,0.0
1,478,0,0,0.34,0.0,0.0
1,479,0,0,0.34,0.0,0.0
1,480,0,0,0.34,0.0,0.0
1,481,0,0,0.34,0.0,0.0
1,482,0,0,0.34,0.0,0.0
1,483,0,0,0.34,0.0,0.0
1,484,0,0,0.34,0.0,0.0
1,485,0,0,0.34,0.0,0.0
1,486,0,0,0.34,0.0,0.0
1,487,0,0,0.34,0.0,0.0
1,488,0,0,0.34,0.0,0.0
1,489,0,0,0.34,0.0,0.0
1,490,0,0,0.34,0.0,0.0
1,491,0,0,0.34,0.0,0.0
1,492,0,0,0.34,0.0,0.0
1,493,0,0,0.34,0.0,0.0
1,494,0,0,0.34,0.0,0.0
1,495,0,0,0.34,0.0,0.0
1,496,0,0,0.34,0.0,0.0
1,497,0,0,0.34,0.0,0.0
1,498,0,0,0.34,0.0,0.0
1,499,0,0,0.34,0.0,0.0
1,500,0,0,0.34,0.0,0.0
1,501,0,0,0.34,0.0,0.0
1,502,0,0,0.34,0.0,0.0
1,503,0,0,0.34,0.0,0.0
1,504,0,0,0.34,0.0,0.0
1,505,0,0,0.34,0.0,0.0
1,506,0,0,0.34,0.0,0.0
1,507,0,0,0.34,0.0,0.0
1,508,0,0,0.34,0.0,0.0
1,509,0,0,0.34,0.0,0.0
1,510,0,0,0.34,0.0,0.0
1,511,0,0,0.34,0.0,0.0
1,512,0,0,0.34,0.0,0.0
1,513,0,0,0.34,0.0,0.0
1,514,0,0,0.34,0.0,0.0
1,515,0,0,0.34,0.0,0.0
1,516,0,0,0.34,0.0,0.0
1,517,0,0,0.34,0.0,0.0
1,518,0,0,0.34,0.0,0.0
1,519,0,0,0.34,0.0,0.0
1,520,0,0,0.34,0.0,0.0
1,521,0,0,0.34,0.0,0.0
1,522,0,0,0.34,0.0,0.0
1,523,0,0,0.34,0.0,0.0
1,524,0,0,0.34,0.0,0.0
1,525,0,0,0.34,0.0,0.0
1,526,0,0,0.34,0.0,0.0
1,527,0,0,0.34,0.0,0.0
1,528,0,0,0.34,0.0,0.0
1,529,0,0,0.34,0.0,0.0
1,530,0,0,0.34,0.0,0.0
1,531,0,0,0.34,0.0,0.0
1,532,0,0,0.34,0.0,0.0
1,533,0,0,0.34,0.0,0.0
1,534,0,0,0.34,0.0,0.0
1,535,0,0,0.34,0.0,0.0
1,536,0,0,0.34,0.0,0.0
1,537,0,0,0.34,0.0,0.0
1,538,0,0,0.34,0.0,0.0
1,539,0,0,0.34,0.0,0.0
1,540,0,0,0.34,0.0,0.0
1,541,0,0,0.34,0.0,0.0
1,542,0,0,0.34,0.0,0.0
1,543,0,0,0.34,0.0,0.0
1,544,0,0,0.34,0.0,0.0
1,545,0,0,0.34,0.0,0.0
1,546,0,0,0.34,0.0,0.0
1,547,0,0,0.34,0.0,0.0
1,548,0,0,0.34,0.0,0.0
1,549,0,0,0.34,0.0,0.0
1,550,0,0,0.34,0.0,0.0
1,551,0,0,0.34,0.0,0.0
1,552,0,0,0.34,0.0,0.0
1,553,0,0,0.34,0.0,0.0
1,554,0,0,0.34,0.0,0.0
1,555,0,0,0.34,0.0,0.0
1,556,0,0,0.34,0.0,0.0
1,557,0,0,0.34,0.0,0.0
1,558,0,0,0.34,0.0,0.0
1,559,0,0,0.34,0.0,0.0
1,560,0,0,0.34,0.0,0.0
1,561,0,0,0.34,0.0,0.0
1,562,0,0,0.34,0.0,0.0
1,563,0,0,0.34,0.0,0.0
1,564,0,0,0.34,0.0,0.0
1,565,0,0,0.34,0.0,0.0
1,566,0,0,0.34,0.0,0.0
1,567,0,0,0.34,0.0,0.0
1,568,0,0,0.34,0.0,0.0
1,569,0,0,0.34,0.0,0.0
1,570,0,0,0.34,0.0,0.0
1,571,0,0,0.34,0.0,0.0
1,572,0,0,0.34,0.0,0.0
1,573,0,0,0.34,0.0,0.0
1,574,0,0,0.34,0.0,0.0
1,575,0,0,0.34,0.0,0.0
1,576,0,0,0.34,0.0,0.0
1,577,0,0,0.34,0.0,0.0
1,578,0,0,0.34,0.0,0.0
1,579,0,0,0.34,0.0,0.0
1,580,0,0,0.34,0.0,0.0
1,581,0,0,0.34,0.0,0.0
1,582,0,0,0.34,0.0,0.0
1,583,0,0,0.34,0.0,0.0
1,584,0,0,0.34,0.0,0.0
1,585,0,0,0.34,0.0,0.0
1,586,0,0,0.34,0.0,0.0
1,587,0,0,0.34,0.0,0.0
1,588,0,0,0.34,0.0,0.0
1,589,0,0,0.34,0.0,0.0
1,590,0,0,0.34,0.0,0.0
1,591,0,0,0.34,0.0,0.0
1,592,0,0,0.34,0.0,0.0
1,593,0,0,0.34,0.0,0.0
1,594,0,0,0.34,0.0,0.0
1,595,0,0,0.34,0.0,0.0
1,596,0,0,0.34,0.0,0.0
1,597,0,0,0.34,0.0,0.0
1,598,0,0,0.34,0.0,0.0
1,599,0,0,0.34,0.0,0.0
1,600,0,0,0.34,0.0,0.0
1,601,0,0,0.34,0.0,0.0
1,602,0,0,0.34,0.0,0.0
1,603,0,0,0.34,0.0,0.0
1,604,0,0,0.34,0.0,0.0
1,605,0,0,0.34,0.0,0.0
1,606,0,0,0.34,0.0,0.0
1,607,0,0,0.34,0.0,0.0
1,608,0,0,0.34,0.0,0.0
1,609,0,0,0.34,0.0,0.0
1,610,0,0,0.34,0.0,0.0
1,611,0,0,0.34,0.0,0.0
1,612,0,0,0.34,0.0,0.0
1,613,0,0,0.34,0.0,0.0
1,614,0,0,0.34,0.0,0.0
1,615,0,0,0.34,0.0,0.0
1,616,0,0,0.34,0.0,0.0
1,617,0,0,0.34,0.0,0.0
1,618,0,0,0.34,0.0,0.0
1,619,0,0,0.34,0.0,0.0
1,620,0,0,0.34,0.0,0.0
1,621,0,0,0.34,0.0,0.0
1,622,0,0,0.34,0.0,0.0
1,623,0,0,0.34,0.0,0.0
1,624,0,0,0.34,0.0,0.0
1,625,0,0,0.34,0.0,0.0
1,626,0,0,0.34,0.0,0.0
1,627,0,0,0.34,0.0,0.0
1,628,0,0,0.34,0.0,0.0
1,629,0,0,0.34,0.0,0.0
1,630,0,0,0.34,0.0,0.0
1,631,0,0,0.34,0.0,0.0
1,632,0,0,0.34,0.0,0.0
1,633,0,0,0.34,0.0,0.0
1,634,0,0,0.34,0.0,0.0
1,635,0,0,0.34,0.0,0.0
1,636,0,0,0.34,0.0,0.0
1,637,0,0,0.34,0.0,0.0
1,638,0,0,0.34,0.0,0.0
1,639,0,0,0.34,0.0,0.0
1,640,0,0,0.34,0.0,0.0
1,641,0,0,0.34,0.0,0.0
1,642,0,0,0.34,0.0,0.0
1,643,0,0,0.34,0.0,0.0
1,644,0,0,0.34,0.0,0.0
1,645,0,0,0.34,0.0,0.0
1,646,0,0,0.34,0.0,0.0
1,647,0,0,0.34,0.0,0.0
1,648,0,0,0.34,0.0,0.0
1,649,0,0,0.34,0.0,0.0
1,650,0,0,0.34,0.0,0.0
1,651,0,0,0.34,0.0,0.0
1,652,0,0,0.34,0.0,0.0
1,653,0,0,0.34,0.0,0.0
1,654,0,0,0.34,0.0,0.0
1,655,0,0,0.34,0.0,0.0
1,656,0,0,0.34,0.0,0.0
1,657,0,0,0.34,0.0,0.0
1,658,0,0,0.34,0.0,0.0
1,659,0,0,0.34,0.0,0.0
1,660,0,0,0.34,0.0,0.0
1,661,0,0,0.34,0.0,0.0
1,662,0,0,0.34,0.0,0.0
1,663,0,0,0.34,0.0,0.0
1,664,0,0,0.34,0.0,0.0
1,665,0,0,0.34,0.0,0.0
1,666,0,0,0.34,0.0,0.0
1,667,0,0,0.34,0.0,0.0
1,668,0,0,0.34,0.0,0.0
1,669,0,0,0.34,0.0,0.0
1,670,0,0,0.34,0.0,0.0
1,671,0,0,0.34,0.0,0.0
1,672,0,0,0.34,0.0,0.0
1,673,0,0,0.34,0.0,0.0
1,674,0,0,0.34,0.0,0.0
1,675,0,0,0.34,0.0,0.0
1,676,0,0,0.34,0.0,0.0
1,677,0,0,0.34,0.0,0.0
1,678,0,0,0.34,0.0,0.0
1,679,0,0,0.34,0.0,0.0
1,680,0,0,0.34,0.0,0.0
1,681,0,0,0.34,0.0,0.0
1,682,0,0,0.34,0.0,0.0
1,683,0,0,0.34,0.0,0.0
1,684,0,0,0.34,0.0,0.0
1,685,0,0,0.34,0.0,0.0
1,686,0,0,0.34,0.0,0.0
1,687,0,0,0.34,0.0,0.0
1,688,0,0,0.34,0.0,0.0
1,689,0,0,0.34,0.0,0.0
1,690,0,0,0.34,0.0,0.0
1,691,0,0,0.34,0.0,0.0
1,692,0,0,0.34,0.0,0.0
