Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
27,27,1,517,521,5
27,15,4,522,523,2
27,1,0,524,527,4
27,13,2,528,533,6
27,2,0,534,1204,671
27,15,4,1205,1206,2
27,27,1,1207,1216,10
27,7,3,1217,1227,11
27,12,2,1228,1439,212
28,12,2,0,18,19
28,21,4,19,21,3
28,11,1,22,614,593
28,1,0,615,618,4
28,15,4,619,621,3
28,3,3,622,645,24
28,18,2,646,654,9
28,15,4,655,659,5
28,9,3,660,661,2
28,17,1,662,698,37
28,18,2,699,739,41
28,1,0,740,752,13
28,24,3,753,796,44
28,15,4,797,797,1
28,13,2,798,824,27
28,19,3,825,836,12
28,13,2,837,930,94
28,15,4,931,931,1
28,19,3,932,940,9
28,14,4,941,961,21
28,27,1,962,975,14
28,21,4,976,982,7
28,1,0,983,988,6
28,18,2,989,1051,63
28,10,3,1052,1054,3
28,18,2,1055,1095,41
28,1,0,1096,1101,6
28,27,1,1102,1105,4
28,15,4,1106,1107,2
28,1,0,1108,1439,332
29,2,0,0,1154,1155
29,12,2,1155,1181,27
29,7,3,1182,1213,32
29,27,1,1214,1215,2
29,7,3,1216,1219,4
29,15,4,1220,1220,1
29,7,3,1221,1240,20
29,12,2,1241,1350,110
29,15,4,1351,1351,1
29,1,0,1352,1352,1
29,12,2,1353,1439,87
30,12,2,0,13,14
30,11,1,14,471,458
30,15,4,472,473,2
30,3,3,474,500,27
30,15,4,501,502,2
30,17,1,503,528,26
30,1,0,529,529,1
30,17,1,530,532,3
30,21,4,533,533,1
30,1,0,534,1254,721
30,15,4,1255,1255,1
30,7,3,1256,1268,13
30,27,1,1269,1269,1
30,1,0,1270,1271,2
30,8,3,1272,1283,12
30,17,1,1284,1290,7
30,1,0,1291,1308,18
30,12,2,1309,1395,87
30,15,4,1396,1397,2
30,12,2,1398,1407,10
30,11,1,1408,1439,32
