Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
19,17,1,53,92,40
19,14,4,93,95,3
19,12,2,96,99,4
19,11,1,100,451,352
19,15,4,452,455,4
19,16,1,456,485,30
19,20,4,486,497,12
19,27,1,498,506,9
19,2,0,507,1120,614
19,22,2,1121,1121,1
19,27,1,1122,1126,5
19,22,2,1127,1153,27
19,27,1,1154,1154,1
19,1,0,1155,1157,3
19,7,3,1158,1160,3
19,15,4,1161,1179,19
19,22,2,1180,1205,26
19,7,3,1206,1209,4
19,12,2,1210,1218,9
19,8,3,1219,1234,16
19,21,4,1235,1239,5
19,2,0,1240,1439,200
20,16,1,0,74,75
20,10,3,75,93,19
20,14,4,94,103,10
20,1,0,104,108,5
20,12,2,109,114,6
20,15,4,115,116,2
20,11,1,117,427,311
20,15,4,428,429,2
20,16,1,430,480,51
20,20,4,481,505,25
20,27,1,506,511,6
20,2,0,512,1120,609
20,27,1,1121,1124,4
20,1,0,1125,1126,2
20,12,2,1127,1164,38
20,7,3,1165,1242,78
20,12,2,1243,1326,84
20,16,1,1327,1439,113
21,12,2,0,9,10
21,17,1,10,57,48
21,1,0,58,88,31
21,20,4,89,91,3
21,10,3,92,105,14
21,15,4,106,110,5
21,1,0,111,114,4
21,12,2,115,143,29
21,11,1,144,454,311
21,15,4,455,487,33
21,27,1,488,495,8
21,2,0,496,1104,609
21,27,1,1105,1107,3
21,1,0,1108,1111,4
21,22,2,1112,1145,34
21,1,0,1146,1150,5
21,7,3,1151,1243,93
21,12,2,1244,1300,57
21,10,3,1301,1301,1
21,12,2,1302,1322,21
21,15,4,1323,1327,5
21,22,2,1328,1395,68
21,1,0,1396,1400,5
21,12,2,1401,1439,39
22,12,2,0,42,43
22,16,1,43,53,11
22,1,0,54,66,13
22,14,4,67,108,42
22,10,3,109,132,24
22,21,4,133,136,4
22,1,0,137,139,3
22,15,4,140,141,2
22,16,1,142,410,269
22,15,4,411,424,14
22,16,1,425,660,236
22,18,2,661,692,32
22,1,0,693,693,1
22,15,4,694,695,2
22,1,0,696,698,3
22,12,2,699,759,61
22,1,0,760,780,21
22,12,2,781,884,104
22,27,1,885,893,9
22,1,0,894,1436,543
22,27,1,1437,1439,3
23,16,1,0,42,43
23,10,3,43,56,14
23,15,4,57,63,7
23,10,3,64,78,15
23,21,4,79,82,4
23,1,0,83,85,3
23,18,2,86,110,25
23,1,0,111,112,2
23,11,1,113,396,284
23,15,4,397,401,5
23,16,1,402,453,52
23,15,4,454,473,20
23,22,2,474,481,8
23,16,1,482,555,74
23,12,2,556,573,18
23,1,0,574,585,12
23,12,2,586,713,128
23,1,0,714,717,4
23,15,4,718,719,2
23,1,0,720,720,1
23,22,2,721,722,2
23,1,0,723,726,4
23,12,2,727,848,122
23,27,1,849,856,8
23,2,0,857,915,59
23,27,1,916,917,2
23,12,2,918,973,56
23,1,0,974,982,9
23,12,2,983,995,13
23,7,3,996,1016,21
23,12,2,1017,1026,10
23,7,3,1027,1054,28
23,22,2,1055,1060,6
23,7,3,1061,1071,11
23,12,2,1072,1091,20
23,7,3,1092,1111,20
23,12,2,1112,1128,17
23,10,3,1129,1137,9
23,12,2,1138,1154,17
23,9,3,1155,1157,3
23,12,2,1158,1181,24
23,10,3,1182,1190,9
23,22,2,1191,1191,1
23,15,4,1192,1193,2
23,1,0,1194,1195,2
23,22,2,1196,1287,92
23,15,4,1288,1315,28
23,12,2,1316,1332,17
23,10,3,1333,1353,21
23,12,2,1354,1364,11
23,21,4,1365,1370,6
23,12,2,1371,1379,9
23,11,1,1380,1439,60
24,17,1,0,7,8
24,15,4,8,31,24
24,10,3,32,34,3
24,18,2,35,53,19
24,14,4,54,79,26
24,10,3,80,117,38
24,21,4,118,119,2
24,11,1,120,250,131
24,15,4,251,253,3
24,11,1,254,469,216
24,14,4,470,494,25
24,1,0,495,495,1
24,27,1,496,507,12
24,2,0,508,1089,582
24,27,1,1090,1094,5
24,2,0,1095,1321,227
24,25,2,1322,1340,19
24,27,1,1341,1379,39
24,22,2,1380,1389,10
24,17,1,1390,1439,50
25,12,2,0,8,9
25,15,4,9,15,7
25,12,2,16,32,17
25,10,3,33,66,34
25,1,0,67,69,3
25,21,4,70,75,6
25,1,0,76,78,3
25,12,2,79,88,10
25,11,1,89,122,34
25,1,0,123,157,35
25,11,1,158,469,312
25,15,4,470,501,32
25,27,1,502,508,7
25,2,0,509,1151,643
25,27,1,1152,1154,3
25,1,0,1155,1159,5
25,25,2,1160,1183,24
25,7,3,1184,1229,46
25,12,2,1230,1286,57
25,27,1,1287,1293,7
25,2,0,1294,1407,114
25,27,1,1408,1410,3
25,12,2,1411,1439,29
26,12,2,0,35,36
26,14,4,36,47,12
26,12,2,48,85,38
26,15,4,86,86,1
26,10,3,87,104,18
26,1,0,105,111,7
26,10,3,112,128,17
26,1,0,129,132,4
26,21,4,133,137,5
26,1,0,138,138,1
26,12,2,139,156,18
26,1,0,157,158,2
26,11,1,159,387,229
26,15,4,388,391,4
26,16,1,392,501,110
26,15,4,502,533,32
26,27,1,534,540,7
26,2,0,541,1122,582
26,22,2,1123,1137,15
26,27,1,1138,1141,4
26,18,2,1142,1174,33
26,16,1,1175,1229,55
26,8,3,1230,1255,26
26,15,4,1256,1263,8
26,1,0,1264,1277,14
26,12,2,1278,1291,14
26,1,0,1292,1294,3
26,10,3,1295,1305,11
26,12,2,1306,1439,134
27,2,0,0,40,41
27,10,3,41,67,27
27,1,0,68,68,1
27,21,4,69,77,9
27,1,0,78,78,1
27,12,2,79,105,27
27,11,1,106,402,297
27,15,4,403,408,6
27,16,1,409,483,75
27,15,4,484,496,13
27,27,1,497,506,10
27,2,0,507,1055,549
27,27,1,1056,1061,6
27,2,0,1062,1439,378
28,11,1,0,331,332
28,15,4,332,363,32
28,27,1,364,370,7
28,2,0,371,937,567
28,27,1,938,941,4
28,1,0,942,942,1
28,15,4,943,948,6
28,27,1,949,963,15
28,1,0,964,986,23
28,17,1,987,996,10
28,22,2,997,1010,14
28,17,1,1011,1015,5
28,2,0,1016,1171,156
28,15,4,1172,1173,2
28,1,0,1174,1176,3
28,17,1,1177,1204,28
28,22,2,1205,1207,3
28,17,1,1208,1221,14
28,14,4,1222,1249,28
28,1,0,1250,1278,29
28,10,3,1279,1307,29
28,15,4,1308,1314,7
28,1,0,1315,1318,4
28,12,2,1319,1323,5
28,2,0,1324,1439,116
29,2,0,0,1439,1440
30,2,0,0,1439,1440
