Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
13,11,1,140,537,398
13,15,4,538,539,2
13,17,1,540,565,26
13,14,4,566,588,23
13,27,1,589,593,5
13,1,0,594,1389,796
13,27,1,1390,1392,3
13,25,2,1393,1393,1
13,1,0,1394,1394,1
13,12,2,1395,1439,45
14,12,2,0,56,57
14,15,4,57,57,1
14,12,2,58,88,31
14,11,1,89,396,308
14,15,4,397,400,4
14,11,1,401,509,109
14,15,4,510,511,2
14,27,1,512,513,2
14,1,0,514,1217,704
14,27,1,1218,1222,5
14,1,0,1223,1225,3
14,15,4,1226,1237,12
14,11,1,1238,1268,31
14,12,2,1269,1382,114
14,11,1,1383,1439,57
15,2,0,0,68,69
15,27,1,69,69,1
15,18,2,70,70,1
15,1,0,71,75,5
15,11,1,76,582,507
15,1,0,583,584,2
15,15,4,585,587,3
15,17,1,588,593,6
15,2,0,594,616,23
15,17,1,617,660,44
15,4,3,661,670,10
15,1,0,671,679,9
15,21,4,680,682,3
15,27,1,683,684,2
15,1,0,685,1439,755
16,11,1,0,428,429
16,15,4,429,430,2
16,3,3,431,444,14
16,1,0,445,445,1
16,20,4,446,457,12
16,27,1,458,465,8
16,2,0,466,1439,974
17,2,0,0,23,24
17,27,1,24,26,3
17,1,0,27,32,6
17,15,4,33,34,2
17,11,1,35,104,70
17,1,0,105,105,1
17,15,4,106,106,1
17,11,1,107,604,498
17,15,4,605,606,2
17,17,1,607,610,4
17,4,3,611,626,16
17,1,0,627,634,8
17,25,2,635,658,24
17,15,4,659,677,19
17,17,1,678,770,93
17,15,4,771,787,17
17,18,2,788,928,141
17,15,4,929,930,2
17,6,3,931,937,7
17,1,0,938,944,7
17,12,2,945,1027,83
17,15,4,1028,1029,2
17,12,2,1030,1391,362
17,1,0,1392,1401,10
17,15,4,1402,1403,2
17,1,0,1404,1410,7
17,12,2,1411,1439,29
18,11,1,0,567,568
18,15,4,568,568,1
18,4,3,569,582,14
18,17,1,583,622,40
18,1,0,623,1253,631
18,27,1,1254,1254,1
18,12,2,1255,1261,7
18,11,1,1262,1439,178
19,11,1,0,223,224
19,15,4,224,228,5
19,11,1,229,555,327
19,15,4,556,557,2
19,4,3,558,569,12
19,18,2,570,586,17
19,17,1,587,638,52
19,15,4,639,653,15
19,27,1,654,657,4
19,1,0,658,1439,782
20,2,0,0,1439,1440
21,2,0,0,1439,1440
22,2,0,0,1439,1440
23,2,0,0,1296,1297
23,15,4,1297,1298,2
23,27,1,1299,1299,1
23,1,0,1300,1300,1
23,12,2,1301,1410,110
23,11,1,1411,1439,29
24,11,1,0,643,644
24,22,2,644,646,3
24,15,4,647,657,11
24,17,1,658,676,19
24,4,3,677,685,9
24,15,4,686,686,1
24,17,1,687,874,188
24,6,3,875,884,10
24,15,4,885,886,2
24,25,2,887,927,41
24,17,1,928,1231,304
24,8,3,1232,1235,4
24,1,0,1236,1239,4
24,15,4,1240,1241,2
24,12,2,1242,1397,156
24,11,1,1398,1439,42
25,11,1,0,372,373
25,15,4,373,374,2
25,17,1,375,625,251
25,15,4,626,627,2
25,27,1,628,641,14
25,14,4,642,663,22
25,27,1,664,666,3
25,1,0,667,1434,768
25,27,1,1435,1437,3
25,25,2,1438,1439,2
26,25,2,0,5,6
26,1,0,6,6,1
26,11,1,7,500,494
26,1,0,501,506,6
26,15,4,507,512,6
26,17,1,513,522,10
26,1,0,523,1271,749
26,12,2,1272,1312,41
26,27,1,1313,1314,2
26,12,2,1315,1391,77
26,15,4,1392,1393,2
26,1,0,1394,1394,1
26,11,1,1395,1439,45
27,11,1,0,494,495
27,15,4,495,496,2
27,4,3,497,503,7
27,17,1,504,528,25
27,1,0,529,529,1
27,27,1,530,532,3
27,1,0,533,1340,808
27,27,1,1341,1342,2
27,15,4,1343,1343,1
27,12,2,1344,1439,96
28,12,2,0,21,22
28,15,4,22,23,2
28,11,1,24,614,591
28,15,4,615,617,3
28,17,1,618,633,16
28,4,3,634,647,14
28,17,1,648,736,89
28,15,4,737,754,18
28,18,2,755,1074,320
28,15,4,1075,1093,19
28,1,0,1094,1101,8
28,12,2,1102,1103,2
28,27,1,1104,1106,3
28,1,0,1107,1439,333
29,2,0,0,1138,1139
29,27,1,1139,1139,1
29,1,0,1140,1145,6
29,17,1,1146,1223,78
29,15,4,1224,1225,2
29,8,3,1226,1239,14
29,15,4,1240,1240,1
29,12,2,1241,1335,95
29,15,4,1336,1337,2
29,12,2,1338,1351,14
29,15,4,1352,1365,14
29,12,2,1366,1439,74
30,12,2,0,14,15
30,11,1,15,467,453
30,15,4,468,471,4
30,17,1,472,488,17
30,4,3,489,501,13
30,17,1,502,519,18
30,21,4,520,523,4
30,27,1,524,535,12
30,2,0,536,1254,719
30,27,1,1255,1256,2
30,12,2,1257,1271,15
30,8,3,1272,1284,13
30,12,2,1285,1335,51
30,15,4,1336,1337,2
30,12,2,1338,1407,70
30,11,1,1408,1439,32
